"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"5815",1586.5782205278,1570.77833653249,1602.3781045231,1562.4143831737,1610.74205788189
"5816",1586.98497361771,1565.4823411646,1608.48760607083,1554.09953512738,1619.87041210805
"5817",1587.27190379073,1561.2368693565,1613.30693822495,1547.45475464179,1627.08905293966
"5818",1587.56804617513,1557.68373422999,1617.45235812027,1541.86393508823,1633.27215726202
"5819",1587.86348030738,1554.57177892732,1621.15518168743,1536.94821677583,1638.77874383892
"5820",1588.15896889138,1551.77763554891,1624.54030223386,1532.51852103278,1643.79941674999
"5821",1588.45445328904,1549.22607648706,1627.68283009102,1528.45982820255,1648.44907837552
"5822",1588.74993800855,1546.86760677091,1630.63226924618,1524.6964398729,1652.80343614419
"5823",1589.04542270331,1544.66757018828,1633.42327521834,1521.17535412458,1656.91549128204
"5824",1589.34090739998,1542.60058307772,1636.08123172223,1517.85774998336,1660.82406481659
"5825",1589.6363920965,1540.64739290631,1638.62539128668,1514.71418324209,1664.55860095091
"5826",1589.93187679303,1538.79298586291,1641.07076772315,1511.72169225803,1668.14206132802
"5827",1590.22736148956,1537.02538512148,1643.42933785763,1508.86196005644,1671.59276292267
"5828",1590.52284618609,1535.33485461749,1645.71083775469,1506.12009661152,1674.92559576065
"5829",1590.81833088262,1533.71335266458,1647.92330910065,1503.48380322533,1678.1528585399
"5830",1591.11381557915,1532.15414579387,1650.07348536442,1500.94278194586,1681.28484921243
"5831",1591.40930027568,1530.65152887897,1652.16707167239,1498.48830753523,1684.33029301612
"5832",1591.70478497221,1529.20061783912,1654.2089521053,1496.11291043654,1687.29665950788
"5833",1592.00026966874,1527.79719316217,1656.20334617531,1493.81013746281,1690.19040187467
"5834",1592.29575436527,1526.43757980193,1658.1539289286,1491.57436811591,1693.01714061463
"5835",1592.5912390618,1525.11855362005,1660.06392450355,1489.40067150174,1695.78180662186
"5836",1592.88672375833,1523.8372675358,1661.93617998086,1487.28469338608,1698.48875413058
"5837",1593.18220845486,1522.59119253545,1663.77322437427,1485.22256597622,1701.1418509335
"5838",1593.47769315139,1521.37807004252,1665.57731626026,1483.21083507749,1703.74455122529
"5839",1593.77317784792,1520.19587308384,1667.35048261201,1481.24640070193,1706.29995499391
"5840",1594.06866254445,1519.04277434409,1669.09455074482,1479.32646821195,1708.81085687696
"5841",1594.36414724098,1517.91711967182,1670.81117481014,1477.4485078012,1711.27978668076
"5842",1594.65963193751,1516.81740594116,1672.50185793386,1475.61022063705,1713.70904323797
"5843",1594.95511663404,1515.74226242481,1674.16797084327,1473.80951037298,1716.10072289511
"5844",1595.25060133057,1514.69043502067,1675.81076764048,1472.04445902535,1718.4567436358
"5845",1595.5460860271,1513.66077281535,1677.43139923885,1470.31330642404,1720.77886563017
"5846",1595.84157072363,1512.65221657484,1679.03092487242,1468.6144326104,1723.06870883687
"5847",1596.13705542016,1511.66378883482,1680.61032200551,1466.94634268175,1725.32776815857
"5848",1596.43254011669,1510.69458532708,1682.17049490631,1465.30765367925,1727.55742655414
"5849",1596.72802481322,1509.74376752829,1683.71228209816,1463.69708319209,1729.75896643436
"5850",1597.02350950975,1508.81055615641,1685.2364628631,1462.11343941126,1731.93357960825
"5851",1597.31899420628,1507.89422547175,1686.74376294082,1460.55561241366,1734.08237599891
"5852",1597.61447890281,1506.99409826396,1688.23485954167,1459.02256649545,1736.20639131018
"5853",1597.90996359935,1506.10954142691,1689.71038577179,1457.51333340437,1738.30659379432
"5854",1598.20544829588,1505.23996203918,1691.17093455258,1456.02700634535,1740.3838902464
"5855",1598.50093299241,1504.38480388134,1692.61706210347,1454.56273465419,1742.43913133063
"5856",1598.79641768894,1503.54354433197,1694.0492910459,1453.11971905039,1744.47311632749
"5857",1599.09190238547,1502.71569159326,1695.46811317767,1451.69720739409,1746.48659737684
"5858",1599.387387082,1501.90078220435,1696.87399195964,1450.2944908831,1748.4802832809
"5859",1599.68287177853,1501.09837880688,1698.26736475018,1448.91090063551,1750.45484292154
"5860",1599.97835647506,1500.30806813202,1699.64864481809,1447.54580461121,1752.4109083389
"5861",1600.27384117159,1499.52945918286,1701.01822316031,1446.198604832,1754.34907751117
"5862",1600.56932586812,1498.76218158936,1702.37647014688,1444.8687348658,1756.26991687044
"5863",1600.86481056465,1498.00588411632,1703.72373701298,1443.55565754472,1758.17396358458
"5864",1601.16029526118,1497.26023330735,1705.06035721501,1442.25886289123,1760.06172763113
"5865",1601.45577995771,1496.52491224989,1706.38664766553,1440.97786622938,1761.93369368603
"5866",1601.75126465424,1495.79961944841,1707.70290986007,1439.71220646156,1763.79032284692
"5867",1602.04674935077,1495.0840677944,1709.00943090714,1438.4614444932,1765.63205420834
"5868",1602.3422340473,1494.37798362321,1710.30648447139,1437.22516179032,1767.45930630429
"5869",1602.63771874383,1493.68110584887,1711.59433163879,1436.00295905638,1769.27247843128
"5870",1602.93320344036,1492.99318516927,1712.87322171146,1434.79445501672,1771.071951864
"5871",1603.22868813689,1492.31398333471,1714.14339293907,1433.59928529988,1772.8580909739
"5872",1603.52417283342,1491.64327247388,1715.40507319296,1432.41710140674,1774.6312442601
"5873",1603.81965752995,1490.98083447171,1716.65848058819,1431.2475697591,1776.3917453008
"5874",1604.11514222648,1490.32646039444,1717.90382405853,1430.09037082033,1778.13991363264
"5875",1604.41062692301,1489.67994995743,1719.1413038886,1428.94519828153,1779.87605556449
"5876",1604.70611161954,1489.04111103212,1720.37111220696,1427.81175830742,1781.60046493166
"5877",1605.00159631607,1488.40975918845,1721.5934334437,1426.68976883655,1783.3134237956
"5878",1605.2970810126,1487.78571726977,1722.80844475544,1425.57895893121,1785.01520309399
"5879",1605.59256570913,1487.16881499752,1724.01631642075,1424.47906817282,1786.70606324545
"5880",1605.88805040566,1486.55888860305,1725.21721220827,1423.38984609885,1788.38625471247
"5881",1606.18353510219,1485.95578048447,1726.41128971992,1422.31105167799,1790.0560185264
"5882",1606.47901979872,1485.3593388863,1727.59870071115,1421.24245282028,1791.71558677717
"5883",1606.77450449525,1484.76941760035,1728.77959139016,1420.18382591957,1793.36518307094
"5884",1607.06998919178,1484.18587568585,1729.95410269772,1419.13495542557,1795.005022958
"5885",1607.36547388832,1483.60857720758,1731.12237056905,1418.0956334433,1796.63531433333
"5886",1607.66095858485,1483.03739099046,1732.28452617923,1417.06565935778,1798.25625781191
"5887",1607.95644328138,1482.47219038939,1733.44069617336,1416.04483948205,1799.8680470807
"5888",1608.25192797791,1481.91285307324,1734.59100288257,1415.03298672678,1801.47086922903
"5889",1608.54741267444,1481.35926082187,1735.73556452701,1414.02992028987,1803.064905059
"5890",1608.84289737097,1480.81129933525,1736.87449540668,1413.03546536454,1804.6503293774
"5891",1609.1383820675,1480.26885805392,1738.00790608107,1412.04945286464,1806.22731127035
"5892",1609.43386676403,1479.73182998977,1739.13590353829,1411.071719166,1807.79601436205
"5893",1609.72935146056,1479.20011156659,1740.25859135453,1410.10210586248,1809.35659705864
"5894",1610.02483615709,1478.67360246968,1741.3760698445,1409.14045953598,1810.90921277819
"5895",1610.32032085362,1478.15220550384,1742.48843620339,1408.18663153928,1812.45401016795
