"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"5815",1.84300122925207,1.7647426859568,1.92125977254733,1.7233151155871,1.96268734291703
"5816",1.84415055643157,1.73166397827616,1.95663713458698,1.67211718075146,2.01618393211167
"5817",1.84523971492249,1.70669218569182,1.98378724415316,1.63334955401139,2.05712987583359
"5818",1.84632691852004,1.68589612457775,2.00675771246233,1.60096919231381,2.09168464472627
"5819",1.84741405860269,1.66774582117209,2.0270822960333,1.57263520147561,2.12219291572978
"5820",1.84850119662173,1.6514648753603,2.04553751788317,1.54716014745797,2.1498422457855
"5821",1.84958833457373,1.63659549838915,2.0625811707583,1.52384390172337,2.17533276742408
"5822",1.85067547252354,1.62284091711953,2.07851002792756,1.50223258888834,2.19911835615874
"5823",1.85176261047329,1.60999573721238,2.09352948373419,1.48201208541746,2.22151313552912
"5824",1.85284974842303,1.59791081970368,2.10778867714237,1.46295430294807,2.24274519389798
"5825",1.85393688637277,1.58647381649811,2.12139995624743,1.44488741989571,2.26298635284983
"5826",1.85502402432251,1.57559759372406,2.13445045492096,1.42767817650342,2.2823698721416
"5827",1.85611116227225,1.56521295587146,2.14700936867305,1.41122074737071,2.3010015771738
"5828",1.857198300222,1.55526386552232,2.15913273492167,1.39542943066243,2.31896716978156
"5829",1.85828543817174,1.54570418597061,2.17086669037286,1.38023366637566,2.33633720996782
"5830",1.85937257612148,1.53649539266338,2.18224975957958,1.365574536291,2.35317061595196
"5831",1.86045971407122,1.52760492295647,2.19331450518597,1.35140224014173,2.36951718800071
"5832",1.86154685202096,1.5190049591987,2.20408874484322,1.33767423450166,2.38541946954027
"5833",1.86263398997071,1.51067151369168,2.21459646624974,1.32435383335189,2.40091414658952
"5834",1.86372112792045,1.50258372875127,2.22485852708963,1.3114091376173,2.4160331182236
"5835",1.86480826587019,1.49472333311976,2.23489319862062,1.29881220382057,2.43080432791981
"5836",1.86589540381993,1.48707421404948,2.24471659359038,1.28653838964065,2.44525241799921
"5837",1.86698254176967,1.47962207632526,2.25434300721409,1.27456583243259,2.45939925110676
"5838",1.86806967971942,1.47235416756514,2.2637851918737,1.26287502911118,2.47326433032766
"5839",1.86915681766916,1.46525905470217,2.27305458063614,1.25144849430943,2.48686514102888
"5840",1.8702439556189,1.45832644045361,2.28216147078419,1.24027047969239,2.50021743154541
"5841",1.87133109356864,1.45154701136667,2.29111517577062,1.22932674156316,2.51333544557413
"5842",1.87241823151838,1.44491231104433,2.29992415199244,1.21860434697857,2.52623211605819
"5843",1.87350536946813,1.43841463363182,2.30859610530443,1.20809151085073,2.53891922808552
"5844",1.87459250741787,1.43204693374122,2.31713808109451,1.19777745818866,2.55140755664708
"5845",1.87567964536761,1.42580274981617,2.32555654091905,1.18765230689465,2.56370698384057
"5846",1.87676678331735,1.41967613856381,2.3338574280709,1.17770696748666,2.57582659914805
"5847",1.8778539212671,1.41366161856118,2.34204622397302,1.16793305685171,2.58777478568248
"5848",1.87894105921684,1.40775412151415,2.35012799691952,1.15832282370281,2.59955929473086
"5849",1.88002819716658,1.40194894993674,2.35810744439642,1.14886908385512,2.61118731047804
"5850",1.88111533511632,1.39624174024642,2.36598892998622,1.13956516378504,2.6226655064476
"5851",1.88220247306606,1.39062843045166,2.37377651568047,1.13040485121262,2.63400009491951
"5852",1.88328961101581,1.38510523175198,2.38147399027963,1.12138235166756,2.64519687036405
"5853",1.88437674896555,1.37966860348671,2.38908489444439,1.11249225017664,2.65626124775445
"5854",1.88546388691529,1.37431523096195,2.39661254286863,1.10372947735303,2.66719829647755
"5855",1.88655102486503,1.36904200576187,2.40406004396819,1.09508927928493,2.67801277044513
"5856",1.88763816281477,1.36384600821209,2.41143031741746,1.0865671907157,2.68870913491385
"5857",1.88872530076452,1.35872449171463,2.4187261098144,1.07815901108624,2.69929159044279
"5858",1.88981243871426,1.3536748687159,2.42595000871262,1.06986078307482,2.7097640943537
"5859",1.890899576664,1.34869469810428,2.43310445522372,1.06166877332339,2.72013038000461
"5860",1.89198671461374,1.34378167386332,2.44019175536416,1.05357945508413,2.73039397414336
"5861",1.89307385256348,1.33893361483085,2.44721409029612,1.04558949255735,2.74055821256962
"5862",1.89416099051323,1.33414845543513,2.45417352559132,1.0376957267237,2.75062625430275
"5863",1.89524812846297,1.32942423729646,2.46107201962947,1.02989516249988,2.76060109442606
"5864",1.89633526641271,1.32475910159737,2.46791143122805,1.02218495706988,2.77048557575554
"5865",1.89742240436245,1.32015128213718,2.47469352658772,1.01456240926288,2.78028239946202
"5866",1.89850954231219,1.31559909899741,2.48141998562698,1.00702494986527,2.78999413475912
"5867",1.89959668026194,1.31110095275353,2.48809240777034,0.999570132768298,2.79962322775557
"5868",1.90068381821168,1.30665531917661,2.49471231724675,0.992195626864994,2.80917200955836
"5869",1.90177095616142,1.30226074437511,2.50128116794773,0.98489920862013,2.81864270370271
"5870",1.90285809411116,1.29791584033293,2.50780034788939,0.977678755246274,2.82803743297605
"5871",1.9039452320609,1.29361928080494,2.51427118331686,0.97053223842651,2.8373582256953
"5872",1.90503237001065,1.28936979753551,2.52069494248578,0.963457718531236,2.84660702149006
"5873",1.90611950796039,1.28516617676962,2.52707283915116,0.956453339282349,2.85578567663843
"5874",1.90720664591013,1.2810072560293,2.53340603579096,0.949517322823214,2.86489596899705
"5875",1.90829378385987,1.27689192113112,2.53969564658862,0.942647965157318,2.87393960256243
"5876",1.90938092180961,1.2728191034231,2.54594274019613,0.935843631922484,2.88291821169674
